Timestamp,02.007.BLK01.MET04.PYR01 - Pyranometer - Up.IRRADIANCE_POA  (W/m^2) (AVG),02.007.BLK01.MET04.REF01 - Reference Cell - Up.IRRADIANCE_POA  (W/m^2) (AVG),02.007.BLK01.MET04.REF02 - Reference Cell - Down.IRRADIANCE_POA  (W/m^2) (AVG),02.007.BLK01.MET04.REF03 - Reference Cell - Up.IRRADIANCE_POA  (W/m^2) (AVG),02.007.BLK01.MET04.REF04 - Reference Cell - Down.IRRADIANCE_POA  (W/m^2) (AVG)
2020-10-01T01:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T02:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T03:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T04:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T05:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T06:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T07:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T08:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T09:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T10:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T11:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T12:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T13:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T14:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T15:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T16:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T17:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T18:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T19:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T20:00:00,NaN,NaN,NaN,NaN,NaN
2020-10-01T21:00:00,-448.025,0.4,0,0.416666667,0
2020-10-01T22:00:00,-2641.466667,0,0,0,0
2020-10-01T23:00:00,-2649.683333,0,0,0,0
2020-10-02T00:00:00,-2654.366667,0,0,0,0
2020-10-02T01:00:00,-2656.891667,0,0,0,0
2020-10-02T02:00:00,-2654.933333,0,0,0,0
2020-10-02T03:00:00,-2647.708333,0,0,0,0
2020-10-02T04:00:00,-2649.408333,0,0,0,0
2020-10-02T05:00:00,-2652.858333,0,0,0,0
2020-10-02T06:00:00,-2654.391667,0,0,0,0
2020-10-02T07:00:00,-2656.15,0,0,0,0
